Date,Open,High,Low,Close,Adj Close,Volume
2017-04-07,172.080002,172.929993,171.279999,172.139999,172.139999,3588300
2017-04-10,172.529999,172.559998,171.000000,171.199997,171.199997,3789900
2017-04-11,170.649994,171.229996,168.979996,170.580002,170.580002,4891900
2017-04-12,171.039993,171.199997,170.020004,170.660004,170.660004,3276900
2017-04-13,169.919998,171.360001,169.529999,169.529999,169.529999,3205500
2017-04-17,169.750000,171.300003,169.619995,171.100006,171.100006,3720200
2017-04-18,170.789993,171.690002,169.830002,170.050003,170.050003,6345500
2017-04-19,161.759995,162.639999,159.600006,161.690002,161.690002,19284300
2017-04-20,161.320007,162.399994,160.500000,162.300003,162.300003,6486800
2017-04-21,162.050003,162.110001,160.380005,160.380005,160.380005,5607800
2017-04-24,161.289993,161.570007,160.419998,160.750000,160.750000,5320600
2017-04-25,161.779999,162.039993,160.380005,160.389999,160.389999,4860400
2017-04-26,160.529999,161.100006,159.889999,160.059998,160.059998,4327800
2017-04-27,160.289993,160.479996,159.630005,160.320007,160.320007,4122600
2017-04-28,160.500000,160.589996,159.699997,160.289993,160.289993,4154100
2017-05-01,160.050003,160.419998,158.699997,158.839996,158.839996,4935300
2017-05-02,159.440002,159.490005,158.639999,159.100006,159.100006,3208200
2017-05-03,158.740005,159.449997,158.520004,158.630005,158.630005,3993300
2017-05-04,158.889999,159.139999,158.360001,159.050003,159.050003,4280600
2017-05-05,153.520004,155.779999,153.000000,155.050003,155.050003,12514300
